company_id,company_name,country,homepage,code,code6_re,ticker_candidates,ticker_used,market_cap,market_cap_currency,market_cap_source,market_cap_fetched_at_utc,market_cap_error
132,예스24,KR,,053280,053280,053280.KS|053280.KQ,053280.KQ,89823420416,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
133,오뚜기,KR,,7310.0,007310,007310.KS|007310.KQ,007310.KS,1344776830976,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
134,우리금융그룹,KR,,316140,316140,316140.KS|316140.KQ,316140.KS,25292393414656,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
135,유한양행,KR,,0100.0,000100,000100.KS|000100.KQ,000100.KS,7947425939456,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
136,이마트,KR,,139480.0,139480,139480.KS|139480.KQ,139480.KS,2877068935168,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
112,세아제강지주,KR,,3030.0,003030,003030.KS|003030.KQ,003030.KS,568896913408,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
137,일동제약,KR,,249420.0,249420,249420.KS|249420.KQ,249420.KS,1134290796544,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
138,제주항공,KR,,89590.0,089590,089590.KS|089590.KQ,089590.KS,497929486336,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
139,종근당홀딩스,KR,,1630.0,001630,001630.KS|001630.KQ,001630.KS,237551845376,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
140,카카오,KR,,35720.0,035720,035720.KS|035720.KQ,035720.KS,25160987967488,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
141,카카오뱅크,KR,,323410.0,323410,323410.KS|323410.KQ,323410.KS,12649963192320,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
143,케이씨씨,KR,,2380.0,002380,002380.KS|002380.KQ,002380.KS,3548387475456,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
144,케이티,KR,,30200.0,030200,030200.KS|030200.KQ,030200.KS,14009795346432,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
146,코오롱인더스트리,KR,,120110,120110,120110.KS|120110.KQ,120110.KS,1883415511040,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
147,코웨이,KR,,21240.0,021240,021240.KS|021240.KQ,021240.KS,5876809728000,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
148,콜마홀딩스,KR,,24720.0,024720,024720.KS|024720.KQ,024720.KS,349821861888,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
149,태영건설,KR,,9410.0,009410,009410.KS|009410.KQ,009410.KS,477578002432,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
150,팬오션,KR,,28670.0,028670,028670.KS|028670.KQ,028670.KS,2654137483264,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
151,포스코DX,KR,,22100.0,022100,022100.KS|022100.KQ,022100.KS,5921077985280,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
152,포스코인터내셔널,KR,,47050.0,047050,047050.KS|047050.KQ,047050.KS,10840268865536,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
153,포스코퓨처엠,KR,,3670.0,003670,003670.KS|003670.KQ,003670.KS,19834999930880,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
154,포스코홀딩스,KR,,005490,005490,005490.KS|005490.KQ,005490.KS,27374720647168,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
155,하나금융그룹,KR,,086790,086790,086790.KS|086790.KQ,086790.KS,32385125056512,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
156,하나투어,KR,,39130.0,039130,039130.KS|039130.KQ,039130.KS,744291237888,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
157,하이트진로,KR,,0080.0,000080,000080.KS|000080.KQ,000080.KS,1240037457920,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
158,한국가스공사,KR,,36460.0,036460,036460.KS|036460.KQ,036460.KS,3617566752768,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
159,한국단자공업,KR,,25540.0,025540,025540.KS|025540.KQ,025540.KS,740417994752,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
160,한국지역난방공사,KR,,071320,071320,071320.KS|071320.KQ,071320.KS,1293345751040,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
161,한국콜마,KR,,161890.0,161890,161890.KS|161890.KQ,161890.KS,1725531029504,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
162,한국타이어앤테크놀로지,KR,,161390.0,161390,161390.KS|161390.KQ,161390.KS,8490417389568,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
163,한국투자금융지주,KR,,071050,071050,071050.KS|071050.KQ,071050.KS,13022478204928,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
164,한국항공우주산업,KR,,047810,047810,047810.KS|047810.KQ,047810.KS,15859199246336,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
166,한미약품,KR,,128940.0,128940,128940.KS|128940.KQ,128940.KS,7100919971840,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
167,한샘,KR,,9240.0,009240,009240.KS|009240.KQ,009240.KS,743694401536,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
168,한섬,KR,,20000.0,020000,020000.KS|020000.KQ,020000.KS,412358279168,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
169,한세실업,KR,,105630.0,105630,105630.KS|105630.KQ,105630.KS,511583092736,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
170,한세엠케이,KR,,069640,069640,069640.KS|069640.KQ,069640.KS,27346954240,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
171,한세예스24홀딩스,KR,,016450,016450,016450.KS|016450.KQ,016450.KS,159477317632,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
172,한온시스템,KR,,18880.0,018880,018880.KS|018880.KQ,018880.KS,3971126919168,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
173,한일시멘트,KR,,300720.0,300720,300720.KS|300720.KQ,300720.KS,1229392314368,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
