Domain,Table_Name,Column_Order,Column_Name,Data_Type,Nullable,Key_Type,Description
Reference,reference_market_data,1,reference_market_data_id,BIGINT,N,PK,참조 시계열 식별자
Reference,,2,data_domain,VARCHAR(50),N,,"데이터 도메인(EU_ETS, K_ETS, CBAM_FACTOR 등)"
Reference,,3,key_code,VARCHAR(100),N,,시계열 키 코드
Reference,,4,as_of_date,DATE,N,,기준 일자
Reference,,5,value_numeric,"NUMERIC(24,6)",N,,값
Reference,,6,unit_code,VARCHAR(50),Y,,단위 코드
Reference,,7,source_name,VARCHAR(200),Y,,출처명
Reference,,8,reg_date,TIMESTAMP,N,,레코드 등록 일시
Reference,,9,registrar,VARCHAR(100),N,,등록 주체
Reference,,10,update_date,TIMESTAMP,Y,,최종 수정 일시
Reference,,11,updater,VARCHAR(100),Y,,최종 수정 주체
Reference,,12,note,TEXT,Y,,추가 메모
Reference,codebooks,1,codebook_id,BIGINT,N,PK,코드북 식별자
Reference,,2,code_group,VARCHAR(50),N,,코드 그룹
Reference,,3,code_value,VARCHAR(50),N,,코드 값
Reference,,4,code_label,VARCHAR(200),N,,코드 라벨
Reference,,5,code_description,TEXT,Y,,코드 설명
Reference,,6,score_hint,"NUMERIC(8,5)",Y,,점수 힌트 값
Reference,,7,sort_order,INTEGER,Y,,정렬 순서
Reference,,8,reg_date,TIMESTAMP,N,,레코드 등록 일시
Reference,,9,registrar,VARCHAR(100),N,,등록 주체
Reference,,10,update_date,TIMESTAMP,Y,,최종 수정 일시
Reference,,11,updater,VARCHAR(100),Y,,최종 수정 주체
Reference,,12,note,TEXT,Y,,추가 메모
Methodology,methodology_versions,1,methodology_version_id,BIGINT,N,PK,방법론 버전 식별자
Methodology,,2,version_name,VARCHAR(50),N,,버전명
Methodology,,3,effective_from,DATE,N,,적용 시작일
Methodology,,4,effective_to,DATE,Y,,적용 종료일
Methodology,,5,is_active,BOOLEAN,N,,현재 활성 여부
Methodology,,6,version_status,VARCHAR(30),Y,,버전 상태
Methodology,,7,reg_date,TIMESTAMP,N,,레코드 등록 일시
Methodology,,8,registrar,VARCHAR(100),N,,등록 주체
Methodology,,9,update_date,TIMESTAMP,Y,,최종 수정 일시
Methodology,,10,updater,VARCHAR(100),Y,,최종 수정 주체
Methodology,,11,note,TEXT,Y,,추가 메모
Methodology,score_categories,1,category_id,BIGINT,N,PK,카테고리 식별자
Methodology,,2,methodology_version_id,BIGINT,N,FK,방법론 버전
Methodology,,3,category_code,VARCHAR(20),N,,카테고리 코드
Methodology,,4,category_name,VARCHAR(200),N,,카테고리명
Methodology,,5,category_weight,"NUMERIC(8,5)",N,,상위 가중치
Methodology,,6,display_order,INTEGER,Y,,표시 순서
Methodology,,7,reg_date,TIMESTAMP,N,,레코드 등록 일시
Methodology,,8,registrar,VARCHAR(100),N,,등록 주체
Methodology,,9,update_date,TIMESTAMP,Y,,최종 수정 일시
Methodology,,10,updater,VARCHAR(100),Y,,최종 수정 주체
Methodology,,11,note,TEXT,Y,,추가 메모
Methodology,score_variables,1,variable_id,BIGINT,N,PK,변수 식별자
Methodology,,2,methodology_version_id,BIGINT,N,FK,방법론 버전
Methodology,,3,category_id,BIGINT,N,FK,카테고리
Methodology,,4,display_code,VARCHAR(20),Y,,표시 코드(V1 등)
Methodology,,5,stable_code,VARCHAR(100),N,,안정 코드
Methodology,,6,variable_name,VARCHAR(300),N,,변수명
Methodology,,7,is_scored,BOOLEAN,N,,총점 반영 여부
Methodology,,8,is_experimental,BOOLEAN,N,,실험 변수 여부
Methodology,,9,formula_status,VARCHAR(30),N,,수식 확정 상태
Methodology,,10,activation_rule,TEXT,Y,,활성화 규칙
Methodology,,11,source_section,VARCHAR(100),Y,,문서 출처 섹션
Methodology,,12,reg_date,TIMESTAMP,N,,레코드 등록 일시
Methodology,,13,registrar,VARCHAR(100),N,,등록 주체
Methodology,,14,update_date,TIMESTAMP,Y,,최종 수정 일시
Methodology,,15,updater,VARCHAR(100),Y,,최종 수정 주체
Methodology,,16,note,TEXT,Y,,추가 메모
Methodology,methodology_parameters,1,parameter_id,BIGINT,N,PK,파라미터 식별자
Methodology,,2,methodology_version_id,BIGINT,N,FK,방법론 버전
Methodology,,3,variable_id,BIGINT,Y,FK,대상 변수
Methodology,,4,parameter_code,VARCHAR(100),N,,파라미터 코드
Methodology,,5,parameter_name,VARCHAR(200),N,,파라미터명
Methodology,,6,parameter_value_numeric,"NUMERIC(24,6)",Y,,수치형 파라미터 값
Methodology,,7,parameter_value_text,TEXT,Y,,문자형 파라미터 값
Methodology,,8,parameter_unit,VARCHAR(50),Y,,파라미터 단위
Methodology,,9,industry_code,VARCHAR(50),Y,,산업 코드
Methodology,,10,effective_from,DATE,Y,,적용 시작일
Methodology,,11,effective_to,DATE,Y,,적용 종료일
Methodology,,12,reg_date,TIMESTAMP,N,,레코드 등록 일시
Methodology,,13,registrar,VARCHAR(100),N,,등록 주체
Methodology,,14,update_date,TIMESTAMP,Y,,최종 수정 일시
Methodology,,15,updater,VARCHAR(100),Y,,최종 수정 주체
Methodology,,16,note,TEXT,Y,,추가 메모
